Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16.433332,16.600000,16.433332,16.553333,16.553333,2550
2018-01-03,16.333332,16.666668,16.000000,16.633333,16.633333,5850
2018-01-04,16.600000,18.266666,16.600000,18.166668,18.166668,8250
2018-01-05,18.400000,21.400000,18.173332,21.400000,21.400000,16200
2018-01-08,21.400000,23.219999,20.440001,21.753332,21.753332,16950
2018-01-09,22.233334,23.066668,21.733334,22.433332,22.433332,16200
2018-01-10,22.966667,22.966667,19.926666,20.700001,20.700001,23100
2018-01-11,21.166668,22.200001,20.033333,20.033333,20.033333,4950
2018-01-12,19.266666,20.033333,19.266666,19.799999,19.799999,6300
2018-01-16,20.299999,21.299999,19.566668,19.566668,19.566668,1200
2018-01-17,19.700001,20.940001,19.700001,20.833332,20.833332,1650
2018-01-18,20.833332,20.833332,18.666668,19.966667,19.966667,3600
2018-01-19,20.666668,20.666668,19.886667,19.886667,19.886667,1950
2018-01-22,20.046667,20.566668,20.046667,20.126667,20.126667,1050
2018-01-23,20.666668,20.666668,18.879999,18.879999,18.879999,600
2018-01-24,19.966667,19.966667,19.966667,19.966667,19.966667,450
2018-01-25,21.273333,21.273333,21.273333,21.273333,21.273333,750
2018-01-26,20.666668,22.000000,20.666668,22.000000,22.000000,2100
2018-01-29,22.000000,22.000000,21.493334,21.493334,21.493334,3600
2018-01-30,21.493334,21.493334,21.493334,21.493334,21.493334,300
2018-01-31,21.493334,21.493334,21.493334,21.493334,21.493334,0
2018-02-01,20.066668,20.113333,19.340000,19.340000,19.340000,6600
2018-02-02,19.340000,19.340000,19.340000,19.340000,19.340000,0
2018-02-05,19.100000,19.733334,18.340000,19.700001,19.700001,4200
2018-02-06,18.799999,19.299999,18.006666,18.933332,18.933332,6750
2018-02-07,19.000000,19.833332,18.400000,19.299999,19.299999,2250
2018-02-08,19.299999,19.299999,19.299999,19.299999,19.299999,0
2018-02-09,19.100000,19.100000,18.266666,18.266666,18.266666,2550
2018-02-12,18.133333,18.260000,17.600000,18.000000,18.000000,3450
2018-02-13,17.133333,18.000000,17.066668,18.000000,18.000000,1950
2018-02-14,17.966667,18.000000,17.966667,18.000000,18.000000,300
2018-02-15,18.066668,18.066668,18.000000,18.006666,18.006666,4500
2018-02-16,18.133333,18.293333,18.066668,18.293333,18.293333,2550
2018-02-20,17.700001,17.700001,17.700001,17.700001,17.700001,1050
2018-02-21,18.006666,18.006666,18.000000,18.000000,18.000000,1800
2018-02-22,18.000000,18.000000,18.000000,18.000000,18.000000,150
2018-02-23,17.666668,17.666668,17.466667,17.466667,17.466667,1200
2018-02-26,16.733334,16.740000,16.733334,16.740000,16.740000,1500
2018-02-27,16.740000,16.740000,16.740000,16.740000,16.740000,0
2018-02-28,16.719999,16.719999,16.633333,16.633333,16.633333,2850
2018-03-01,16.633333,16.633333,16.633333,16.633333,16.633333,0
2018-03-02,16.666668,16.799999,16.666668,16.666668,16.666668,3750
